text,intent
need a table for in hours,BookRestaurant
book a table for me and my girlfriend in a romantic restaurant for valentines day,BookRestaurant
need a reservation for brunch for in williamsburg near the bridge,BookRestaurant
book me and my sister a spot at the milk bar place near the hotel she stays at in midtown,BookRestaurant
book me a table for at delmonicos,BookRestaurant
get a taxi to emmits irish pub,RequestRide
get me a ride to the airport,RequestRide
order a taxi for tomorrow am,RequestRide
get a cab at my place right now,RequestRide
order a taxi,RequestRide
i need a taxi for to go to audrey and sams wedding,RequestRide
book an uber to my next meeting,RequestRide
i need a taxi to catch my flight tomorrow morning,RequestRide
book a cab,RequestRide
book a taxi to go to sebastians,RequestRide
find a taxi,RequestRide
i need a cab to go to work,RequestRide
i need a taxi in minutes at th avenue,RequestRide
book an uber to home,RequestRide
can you find me a ride at this hour,RequestRide
order a cab for people,RequestRide
i need an uber right now,RequestRide
book me a ride at my current location,RequestRide
order a cab at my mothers place to go to the la stadium,RequestRide
get an uber to go to my dinner tonight,RequestRide
book a lyft car to go to greene street,RequestRide
i want a taxi right now,RequestRide
is there any uber around,RequestRide
get a taxi to the nearest japanese restaurant,RequestRide
order a cab at shake shack to go to the empire state building,RequestRide
get a lyft car at scotts place,RequestRide
how do i go to montauk avoiding tolls,GetDirections
directions to disneyworld avoiding traffic,GetDirections
show me the way to go to greene street,GetDirections
give me directions to my parents place avoiding toll roads,GetDirections
show me directions to my next meeting avoiding traffic,GetDirections
quickest directions to go pick up my son at soccer practice,GetDirections
show me directions to my yoga retreat avoiding the highway,GetDirections
bicycling directions to millenium park,GetDirections
directions to la guardia airport using waze,GetDirections
cycling directions to chelsea market,GetDirections
cycling directions to my surf lesson at am,GetDirections
show me the fastest itinerary to my airbnb on a friday night,GetDirections
driving directions to tavern on the green,GetDirections
transit directions to barcelona wine bar,GetDirections
navigate to palo alto avoiding traffic,GetDirections
directions to jfk airport at am,GetDirections
how do i go back home,GetDirections
walking directions to my christmas party with citymapper,GetDirections
get me directions to johns place if i leave at pm,GetDirections
walking directions from home to my halloween party stopping by a wine store,GetDirections
directions to tulsa with road,GetDirections
show me the way to go to work,GetDirections
give me transit directions from grand central to brooklyn bridge,GetDirections
navigate me to empire state building using the shortest way,GetDirections
show me walking directions to moma,GetDirections
get me directions to las vegas avoiding toll roads,GetDirections
show me directions to jersey city avoiding the highway,GetDirections
show me the directions from the la county museum to santa monica,GetDirections
directions to my beach house avoiding tolls,GetDirections
show me directions to my hotel,GetDirections
show me the fastest itinerary to go to williamsburg,GetDirections
fastest way to go to my next meeting,GetDirections
directions to joes pub,GetDirections
i want to go to boston with the quickest itinerary,GetDirections
show me the way to rands birthday party by car,GetDirections
share my eta with mary jane,ShareETA
send my eta to the guy im meeting with,ShareETA
share my time of arrival with my airbnb host,ShareETA
share my arrival time with juan carlos,ShareETA
share my eta with jo,ShareETA
share my estimated time of arrival with lily,ShareETA
send my time of arrival to nina,ShareETA
tell my friends what time ill get there,ShareETA
share with franz my eta,ShareETA
send a message to john to tell him when i get there,ShareETA
send my eta to my girlfriend,ShareETA
tell valery how long its gonna take to join her,ShareETA
share my eta with the guy who just called me,ShareETA
share my eta,ShareETA
share my eta with my data scientist,ShareETA
share my estimated time of arrival with my mother,ShareETA
send a message to michael with my eta,ShareETA
share my eta with the snips team,ShareETA
send my eta to the girl im supposed to have dinner with,ShareETA
send a message to montgomery with my arrival time,ShareETA
send my eta to the guests of my apartment,ShareETA
send a message to my boss with my eta,ShareETA
should i expect traffic from here to kennedy international airport,GetTrafficInformation
any traffic problems to go to my dinner,GetTrafficInformation
any accidents from my airbnb to golden gate bridge,GetTrafficInformation
is there traffic from work to gym,GetTrafficInformation
is there traffic on my way to the gym,GetTrafficInformation
hows traffic to go to my hotel,GetTrafficInformation
hows the road on the th avenue,GetTrafficInformation
i want to know if there is traffic to go to my upcoming meeting,GetTrafficInformation
is there traffic jam on th avenue,GetTrafficInformation
any accidents to expect to go to my cousins place,GetTrafficInformation
hows the traffic from here to jos place,GetTrafficInformation
is there traffic on th avenue and west th street,GetTrafficInformation
shoud i expect traffic between broadway and prince street,GetTrafficInformation
is there traffic on the us portion im going to take to go to my client meeting,GetTrafficInformation
are there any accidents from home to work,GetTrafficInformation
should i expect any traffic to go meet my friends tonight,GetTrafficInformation
is there traffic jam from here to brooklyn bridge,GetTrafficInformation
hows the traffic from here to central park,GetTrafficInformation
is the road to work congested,GetTrafficInformation
is there any traffic on us,GetTrafficInformation
show me the forecast for new orleans,GetWeather
will it be cloudy at my facebook event,GetWeather
whats the weather like at my parents,GetWeather
is the weather good for a walk today,GetWeather
is it cold outside,GetWeather
is it going to rain tomorrow,GetWeather
whats the weather like at jos place right now,GetWeather
can i walk to my next meeting,GetWeather
show me the weather forecast for my upcoming trip to los angeles,GetWeather
will it rain in the next minutes,GetWeather
whats the weather like in paris new york and chicago,GetWeather
whats the weather forecast for the rest of the week,GetWeather
whats the weather like from new york to boston,GetWeather
how windy will it be tomorrow,GetWeather
should i have an umbrella with me tomorrow,GetWeather
what will the weather be like at jos place this afternoon,GetWeather
can i go hiking this afternoon,GetWeather
what is the temperature tomorrow morning,GetWeather
is it cold outside,GetWeather
should i take an umbrella to walk to my dinner,GetWeather
what will the weather be like from home to jos place,GetWeather
whats the weather like in days,GetWeather
what will the weather be like from am to pm in central park,GetWeather
what will the weather be like tomorrow morning,GetWeather
can i take my bike to go to work today,GetWeather
what will the weather be like in london next week,GetWeather
is it windy today,GetWeather
whats the weather like at work,GetWeather
is it going to be sunny next week,GetWeather
i want the weather in paris,GetWeather
it is a beautiful day for a walk,GetWeather
whats it like outside,GetWeather
what will the weather be like when i land in paris,GetWeather
is it raining right now,GetWeather
what will the weather be like at my airbnb this week end,GetWeather
whats the weather like in bordeaux,GetWeather
whats the weather like near my upcoming event,GetWeather
will it rain tomorrow near my all day event,GetWeather
i need the weather at jos place around pm,GetWeather
what will the weather be like when i get out of my afternoon meeting,GetWeather
show me the forecast for my upcoming weekend,GetWeather
should i take a rain coat today,GetWeather
