text,intent
book a table for at tavern on the green for pm,BookRestaurant
what time does pouring ribbons open tonight,GetPlaceDetails
show me the closest restaurants with all you can eat buffets,SearchPlace
share with franz my eta,ShareETA
share my eta with the snips team,ShareETA
is pates et traditions cash only,GetPlaceDetails
hows the road on the th avenue,GetTrafficInformation
give me the phone number of the place im going to today,GetPlaceDetails
can you find me a ride at this hour,RequestRide
hows the traffic from here to central park,GetTrafficInformation
show me the fastest itinerary to go to williamsburg,GetDirections
can i take my bike to go to work today,GetWeather
table for a group of near west village tomorrow go,BookRestaurant
what are the opening hours of please dont tell,GetPlaceDetails
share my location with my uber driver,ShareCurrentLocation
whats it like outside,GetWeather
whats todays menu at the water club,GetPlaceDetails
find me a coffee place similar to starbucks that has gluten free food,SearchPlace
whats the closest between jos and loris place,ComparePlaces
book a table for people at a restaurant that serve tapas and wine for tonight,BookRestaurant
where can i eat the best burger in soho,SearchPlace
book a table for people at mr donahues for tomorrows lunch,BookRestaurant
book a table for people at the restaurant im used to going to every week,BookRestaurant
give me the address of the biggest wallmart in boston area,GetPlaceDetails
is the view more expensive than masa,ComparePlaces
whats the weather like from new york to boston,GetWeather
find me a place that sells burritos in south harlem,SearchPlace
whats the weather like at jos place right now,GetWeather
find me a restaurant similar to the one i went to yesterday evening,SearchPlace
order a taxi,RequestRide
how crowded is the bar near my place,GetPlaceDetails
find me the cheapest seafood restaurant near the golden bridge,SearchPlace
what will the weather be like from am to pm in central park,GetWeather
share my arrival time with juan carlos,ShareETA
cycling directions to my surf lesson at am,GetDirections
should i take a rain coat today,GetWeather
share my eta with jo,ShareETA
how do i go back home,GetDirections
make a reservation at delmonicos on saturday pm for people,BookRestaurant
book a table for friday pm for people at katzs delicatessen,BookRestaurant
share my location to mum until i get to school,ShareCurrentLocation
how much does it cost to go to disneyland,GetPlaceDetails
directions to joes pub,GetDirections
book a restaurant for brunch next sunday,BookRestaurant
does the view has reserved parking,GetPlaceDetails
book a table for four people at tapestry for pm tonight,BookRestaurant
find the top family attractions in hollywood not far from angies place,SearchPlace
what is the temperature tomorrow morning,GetWeather
find me the finest sushi restaurant in the area of my next meeting,SearchPlace
should i take an umbrella to walk to my dinner,GetWeather
book a table at an american restaurant for thanksgiving,BookRestaurant
we are a party of people and we want to book a table at seven hills for sunset,BookRestaurant
i need an uber right now,RequestRide
book me a table for pm at a restaurant with wifi near my airbnb,BookRestaurant
book a table at joans on third for my family reunion on saturday,BookRestaurant
any traffic problems to go to my dinner,GetTrafficInformation
bicycling directions to millenium park,GetDirections
find me a brunch spot in lower manhattan,SearchPlace
i want a reservation for at alinea,BookRestaurant
